MovieTitle,ReleaseYear,RunTime,Genres,DirectorName,Rating,Studio,OriginCountry,OriginalLanguage,cast
1917,2019,119 mins   More at IMDb TMDB  Report this page,"War, History, Thriller",Sam Mendes,4.11 out of 5,DreamWorks Pictures,India,English,"George MacKay, Dean-Charles Chapman, Mark Strong, Andrew Scott, Richard Madden, Claire Duburcq, Colin Firth, Benedict Cumberbatch, Daniel Mays, Adrian Scarborough, Chris Walley, Nabhaan Rizwan, Jamie Parker, Tommy French, Paul Tinto, Billy Postlethwaite, Richard McCabe, Justin Edwards, Pip Carter, Andy Apollo, Josef Davies, Gabriel Akuwudike, Spike Leighton, Robert Maaser, Gerran Howell, Adam Hugill, Benjamin Adams, Anson Boon, Kenny Fullwood, Ryan Nolan, Elliot Baxter, Kye Mckee, Ivy-I Macnamara, Merlin Leonhardt, Taddeo Kufus, Jos Slovick, Luke Hornsby, Jack Shalloo, Elliot Edusah, Jacob James Beswick, Michael Jibson, Ian Wilson, Bradley Connor, John Hollingworth, Michael smith, Jonny Lavelle, Michael Rouse, Richard Dempsey, Phil Cheadle, Jonah Russell, Daniel Attwell, Joe Anders, Bogdan Kumšackij, Oliver Simms"
Life of Pi,2012,127 mins   More at IMDb TMDB  Report this page,"Drama, Adventure",Ang Lee,3.74 out of 5,Fox 2000 Pictures,India,English,"Suraj Sharma, Irrfan Khan, Ayush Tandon, Gautam Belur, Adil Hussain, Tabu, Ayaan Khan, Mohd Abbas Khaleeli, Vibish Sivakumar, Rafe Spall, Gérard Depardieu, James Saito, Jun Naito, Andrea Di Stefano, Shravanthi Sainath, Elie Alouf, T.M. Karthik, Amarendran Ramanan, Hari Mina Bala, Edison Wang, Ko I-chen, Jag Huang, Ravi Natesan, Adyant Balaji, Chirag Agarwal, Ahan André Kamath, Om Kamath, Srilekh Katta, Swati Van Rijswijk, M. Keerthana, Indumohan Poornima, Josephine Nithya B., Samyuktha S., A. Deiva Sundari, G. Vasantakumary, A. Vithya, Mythili Prakash, Raj Patel, Hadiqa Hamid, Iswar Srikumar, Padmini Ramachandran"
RRR,2022,185 mins   More at IMDb TMDB  Report this page,"Adventure, Action, Drama",S. S. Rajamouli,4.20 out of 5,DVV Entertainment,India,Telugu,"N.T. Rama Rao Jr., Ram Charan, Olivia Morris, Ray Stevenson, Alison Doody, Ajay Devgn, Alia Bhatt, Samuthirakani, Twinkle Sharma, Shriya Saran, Chatrapathi Sekhar, Makrand Deshpande, Rahul Ramakrishna, Varun Buddhadev, Edward Sonnenblick, Ahmareen Anjum, Rajiv Kanakala, Spandan Chaturvedi, Chakri, Mark Bennington, R. Bhakti Klein, Alexx O'Nell, Gaurav Pareek, Kirron Arya, Akash Boro, Eduard Buhac, Oleh Karpenko, Ivan Kostadinov, Jason Yeboa, Vedala Hemachandra, S. S. Rajamouli"
Pixels,2015,106 mins   More at IMDb TMDB  Report this page,"Science Fiction, Action, Fantasy, Comedy",Chris Columbus,2.33 out of 5,Columbia Pictures,China,English,"Adam Sandler, Kevin James, Michelle Monaghan, Peter Dinklage, Josh Gad, Matt Lintz, Brian Cox, Denis Akiyama, Sean Bean, Jane Krakowski, Dan Aykroyd, Affion Crockett, Lainie Kazan, Ashley Benson, Tom McCarthy, Tim Herlihy, Jackie Sandler, Jared Sandler, William S. Taylor, Rose Rollins, Tucker Smallwood, Serena Williams, Martha Stewart, Allen Covert, Bill Lake, Mark Whelan, Dan Patrick, Robert Smigel, Steve Koren, Sadie Sandler, Sunny Sandler, Hannah Covert, Abigail Covert, Sienna James, Shea James, Chris Titone, Jonathan Loughran, Toru Iwatani, Anthony Ippolito, Jared Riley, Andrew Bambridge, Jacob Shinder, Jack Fulton, Kevin Grady, Bridget Graham, Jocelyn Hudon, Margaret Killingbeck, Ron Mustafaa, Meher Pavri, Annika Pergament, Lamont James, James Preston Rogers, Bola Olubowale, Rob Archer, Mark Sparks, Steve Wiebe, Sara Haines, Derwin Philips, Michael Boisvert, Colleen Reynolds, Jimi Shlag, Emily Jenkins, Sistah Lois, Andrew McMichael, Gary Douglas, Eric Trask, Susie McLean, Daryl Hall, John Oates, Matt Frewer, Billy West, Holly Beavon, Fiona Shaw, Nick Swardson, Joshua Holmes, Jean Christophe Loustau, Dave Reachill, Tyler Malazo, Carlos Alazraqui, Holly Beavon"
Lincoln,2012,149 mins   More at IMDb TMDB  Report this page,"History, Drama",Steven Spielberg,3.58 out of 5,DreamWorks Pictures,India,English,"Daniel Day-Lewis, Sally Field, David Strathairn, Joseph Gordon-Levitt, James Spader, Hal Holbrook, Tommy Lee Jones, John Hawkes, Jackie Earle Haley, Bruce McGill, Tim Blake Nelson, Joseph Cross, Jared Harris, Lee Pace, Peter McRobbie, Gulliver McGrath, Gloria Reuben, Jeremy Strong, Michael Stuhlbarg, Boris McGiver, David Costabile, Stephen Spinella, Walton Goggins, David Warshofsky, Colman Domingo, David Oyelowo, Lukas Haas, Dane DeHaan, Carlos Thompson, Bill Camp, Elizabeth Marvel, Byron Jennings, Julie White, Charmaine White, Ralph D. Edlow, Grainger Hines, Richard Topol, Walt Smith, Dakin Matthews, James 'Ike' Eichling, Wayne Duvall, Bill Raymond, Michael Stanton Kennedy, Ford Flannagan, Robert Ayers, Robert Peters, John Moon, Kevin Lawrence O'Donnell, Jamie Horton, Joe Dellinger, Richard Warner, Elijah Chester, Dave Hager, Sean Haggerty, Mike Shiflett, Gregory Itzin, Stephen Dunn, Stephen McKinley Henderson, Chase Edmunds, John Hutton, Robert Ruffin, Drew Sease, John Lescault, Scott Wichmann, Adam Driver, Jean Kennedy Smith, Shirley Augustine, Sarah Wylie, Margaret Ann McGowan, Hilary Montgomery, Asa-Luke Twocrow, Lancer Dean Shull, Robert Wilharm, Kevin Kline, John Jones, Paul Gowans, Joseph Miller, John Bellemer, Mary Dunleavy, Christopher Evan Welch, Alan Sader, Gannon McHale, Ken Lambert, Thomas Belgrey, Ted Johnson, Don Henderson Baker, Raynor Scheine, Armistead Wellford, Michael Ruff, Rich Wills, Stephen Bozzo, Christopher Alan Stewart, Teddy Eck, Todd Fletcher, Charles Kinney, Joseph Carlson, Michael Goodwin, Edward McDonald, Jim Batchelder, Gregory Hosaflook, Joe Kerkes, William Kaffenberger, Larry Van Hoose, C. Brandon Marshall, David Russell Graham, Benjamin Shirley, Henry Kidd, Joseph Frances Filipowski, Thomas Aldridge, Sidney Blackmer Jr., Billy Caldwell, Glenn T. Crone, Martin Dew, Theodore Ewald, Todd Hunter, Joe Inscoe, Raymond H. Johnson, Gary Keener, Randolph Meekins, Frank Moran, Charley Morgan, Chad Pettit, Barry Privett, Leslie Rogers, Marcello Rollando, Keith Tyree, Kevin J. Walsh, Robert Wray, S. Epatha Merkerson, Christopher Boyer, Stephen Dunford, David Doersch, Christopher Cartmill, Robert Shepherd, Lucas N. Hall"
The Post,2017,116 mins   More at IMDb TMDB  Report this page,"History, Drama",Steven Spielberg,3.48 out of 5,20th Century Fox,USA,English,"Meryl Streep, Tom Hanks, Sarah Paulson, Bob Odenkirk, Tracy Letts, Bradley Whitford, Bruce Greenwood, Matthew Rhys, Alison Brie, Carrie Coon, Jesse Plemons, David Cross, Zach Woods, Pat Healy, John Rue, Rick Holmes, Philip Casnoff, Jessie Mueller, Stark Sands, Michael Cyril Creighton, Will Denton, Deirdre Lovejoy, Michael Devine, Kelly Miller, Jennifer Dundas, Austyn Johnson, Brent Langdon, Michael Stuhlbarg, Deborah Green, Gary Wilmes, Christopher Innvar, Luke Slattery, Justin Swain, Robert G. McKay, Sasha Spielberg, Bryan Burton, Coral Peña, Dan Bittner, Kenneth Tigar, David Aaron Baker, Gannon McHale, Kevin Loreque, Francis Dumaurier, Stephen Mailer, Ned Noyes, John Henry Cox, Dan Bucatinsky, David Costabile, Johanna Day, Annika Boras, Carolyn McCormick, Susan Blackwell, Jordan Baker, Lauren Lim Jackson, Peter Van Wagner, Angus Hepburn, James Riordan, Kelly AuCoin, Cotter Smith, Ben Livingston, Stephen Rowe, Rick Crom, Fenton Lawless, Cullen Oliver Johnson, JaQwan J. Kelly, Brett G. Smith, Brett Diggs, Anthony M Walker, Saul Alvarez, Theis Weckesser, David Beach, Shawn Allen McLaughlin, Shaun O'Hagan, Thaddeus Daniels, Brendan Burke, Celeste Arias, Sonny Valicenti, Patrick Noonan, Will Blomker, Amy Russ, Aaron Roman Weiner, Catherine Wolf, Joel Nagle, Tom Bair, Walter Brandes, Juliana Davies, Hazel Mason, Ginger Mason, Sawyer Spielberg, Mark Jacoby, Jon Donahue, Seth Barrish, Clarke Thorell, Joseph Tudisco, Steve Witting, Gary Galone, Frank Ridley, Jeremiah Wiggins, Alexander Sage Oyen, Brittney Johnson, Caleb Eberhardt, Don McCloskey, Estelle Bajou, Kaylyn Scardefield, Leslie Kujo, Lilli Cooper, Odiseas Georgiadis, Sean Meehan, Steven Kearney, Curzon Dobell, Matthew Piazzi, Armand Schultz, Jerry Lobrow, Mark Pinelli"
Real Steel,2011,127 mins   More at IMDb TMDB  Report this page,"Drama, Action, Science Fiction",Shawn Levy,3.41 out of 5,DreamWorks Pictures,USA,English,"Hugh Jackman, Dakota Goyo, Evangeline Lilly, Kevin Durand, Anthony Mackie, Hope Davis, James Rebhorn, Karl Yune, Sophie Levy, Tess Levy, Olga Fonda, John Gatins, Gregory Sims, Torey Adkins, Phil LaMarr, John Hawkinson, David Alan Basche, Julian Gant, Ken Alter, Leilani Barrett, D.B. Dickerson, Peter Carey, Dan Lemieux, Richard Goteri, Tim Holmes, Ricky Wayne, Taris Tyler, Kevin Dorman, John Manfredi, Mike Ancrile, Leah Barkoff, Joshua Ray Bell, Clark Birchmeier, Ben Hernandez Bray, Wayne E. Brown, Justin Calkins, Ron Causey, Jahnel Curfman, Johnny Flynn, Logan Fry, Megan Grant, J.J. Green, Shane Hagedorn, Kef Lee, Brad Leo Lyon, Mary Magyari, Megan Mockensturm, Kirstie Munoz, Anton Narinskiy, Chris Newman, Wendy Paquette, Alan D. Purwin, Miguel Sandoval, Dwight Sora, Jojuan Westmoreland, Amanda Bright, Gary T. Jones, Rima Fakih"
Dredd,2012,95 mins   More at IMDb TMDB  Report this page,"Science Fiction, Action",Pete Travis,3.62 out of 5,Rena Film,South Africa,English,"Karl Urban, Olivia Thirlby, Lena Headey, Wood Harris, Langley Kirkwood, Tamer Burjaq, Joe Vaz, Rakie Ayola, Junior Singo, Luke Tyler, Jason Cope, Domhnall Gleeson, Warrick Grier, Rachel Wood, Andile Mngadi, Porteus Xandau, Emma Breschi, Shoki Mokgapa, Yohan Chun, Eden Knowles, Desmond Lai Lan, Deobia Oparei, Patrick Lyster, Travis Snyders, Scott Sparrow, Marty Kintu, Nicole Bailey, Daniel Hadebe, Francis Chouler, Edwin Perry, Karl Thaning, Michele Levin, Chad Phillips, Brandon Livanos"
Bridge of Spies,2015,141 mins   More at IMDb TMDB  Report this page,"Drama, Thriller",Steven Spielberg,3.60 out of 5,TSG Entertainment,India,English,"Tom Hanks, Mark Rylance, Amy Ryan, Alan Alda, Sebastian Koch, Austin Stowell, Billy Magnussen, Michael Simon Hall, Edward James Hyland, Stephen Kunken, Mike Houston, James Lorinz, Michael Power, Joe Starr, Merab Ninidze, Greg Nutcher, Scott Shepherd, Jesse Plemons, Domenick Lombardozzi, Eve Hewson, Noah Schnapp, Jillian Lebling, Michael Gaston, Peter McRobbie, Joshua Harto, Mark Zak, John Ohkuma, Burghart Klaußner, Mikhail Gorevoy, Max Mauff, Victor Verhaeghe, Mark Fichera, Brian Hutchison, Dakin Matthews, Joel Brady, John Rue, Michael Pemberton, Jon Curry, Wes McGee, Jim C. Ferris, Haley Rawson, Ashlie Atkinson, Steven Boyer, John Henry Cox, Daniela Schulz, Nadja Bobyleva, Joe Forbrich, Patricia Squire, Henny Russell, Nolan Lyons, Hayley Feinstein, Victoria Leigh, Jon Donahue, Victor Schefé, Joachim Paul Assböck, Rainer Reiners, Hamilton Clancy, Tracy Howe, Michael Wren Gucciardo, Rafael Gareisen, Peter Conboy, Ron Komora, Michael Schenk, Sawyer Barth, Will Rogers, Leonard Zimmerman"
The Girl on the Train,2016,112 mins   More at IMDb TMDB  Report this page,"Thriller, Mystery, Drama, Crime",Tate Taylor,2.95 out of 5,Reliance Entertainment,India,English,"Emily Blunt, Rebecca Ferguson, Haley Bennett, Luke Evans, Justin Theroux, Allison Janney, Lisa Kudrow, Laura Prepon, Edgar Ramírez, Darren Goldstein, Cleta Elaine Ellington, Lana Young, Rachel Christopher, Fernando Medina, Gregory Morley, Mac Tavares, John Norris, Nathan Shapiro, Tamiel Paynes, Peter Mayer-Klepchick, Frank Anello, Alexander Jameson, Mauricio Ovalle, Ross Gibby, Guy Sparks, Hannah Kurczeski, Leilah Marie Giddens, Athena Stuebe, Sidney Beitz, Danielle M. Williamson, Phil Oddo, Jesse VanDerveer, Tim Wiencis, Kevin D. McGee, Kristina Nichole, Eddie Sellner, Conor Hovis, Doris McCarthy, Craig Moruzzi, Alice Niedermair, Johnny Otto"
